,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
"26","Arabica","nucoffee","Brazil","fazenda kaquend","","","002/1251/0073","nucoffee","1250m","south of minas","Ralph Junqueira",3,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"33","Arabica","nucoffee","Brazil","fazenda recreio","","","002/1251/0068","nucoffee","1300","vale da grama","Homero Texeira de Macedo Junior",29,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1300,1300,1300
"42","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","cocarive","002/1352/0045","","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","",8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,"",2,"January 4th, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",12,12,12
"43","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","cocarive","002/1352/0045","","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","",8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,"",3,"January 4th, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",12,12,12
"46","Arabica","nucoffee","Brazil","fazenda kaquend","","","002/1251/0071","nucoffee","1250m","south of minas","Ralph Junqueira",7,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,"Blue-Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"74","Arabica","nucoffee","Brazil","fazenda serra de três barras","","","002/1251/0072","nucoffee","1250m","south of minas","José Vagner Ribeiro Junqueira",5,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,"Blue-Green",1,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"103","Arabica","nucoffee","Brazil","sitío são geraldo","","","002/1251/0242","nucoffee","1100m","grama valley","Idalina M. De Andrade Ferreira",31,"60 kg","NUCOFFEE","2012","February 29th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,"Green",3,"February 28th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"113","Arabica","nucoffee","Brazil","fazenda grota funda","","","002/1251/0070","nucoffee","1200m","south of minas","Glaucio Carneiro Pinto",4,"60 kg","NUCOFFEE","2011","December 23rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,"Green",2,"December 22nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1200,1200,1200
"114","Arabica","nucoffee","Brazil","sitio claro","","","002/1251/0066","nucoffee","1000 m","south of minas","Ricardo Luiz Ferreira",10,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Catuai","Natural / Dry",8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"157","Arabica","nucoffee","Brazil","fazenda recreio","","","002/1251/0069","nucoffee","1300m","vale da grama","Homero Texeira de Macedo Junior",37,"60 kg","NUCOFFEE","2011","December 23rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0,"Green",2,"December 22nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1300,1300,1300
"158","Arabica","nucoffee","Brazil","fazenda vista alegre","","","002/1251/0076","nucoffee","1100m","mountains of minas gerais","Geraldo Paixão",35,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11,0,0,"Blue-Green",1,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"170","Arabica","daniel friedlander","Brazil","","","mmm","mmm","","mmm","mmm","mmm",27,"60 kg","NUCOFFEE","mmm","March 23rd, 2011","Daniel Friedlander","","",7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5,0,0,0,"",4,"March 22nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",NA,NA,NA
"188","Arabica","nucoffee","Brazil","santa alina","","","","","1200m to 1350m","vale da grama","Lucia Maria da Silva Dias",75,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","Yellow Bourbon","",8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,0,"",4,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1200,1350,1275
"189","Arabica","nucoffee","Brazil","fazenda baipendi","","","002/1251/0360","","900-1200m","south of minas","Antônio Pelucio",80,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","","",8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,0,"",2,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",900,1200,1050
"219","Arabica","cafebras","Brazil","pantano","","via seca","002/1495/0607","cafebras comercio de cafés do brasil sa","1150","cerrado","MAURO GALHERI",305,"59 kg","Brazil Specialty Coffee Association","2015","April 24th, 2015","Cafebras","Catuai","Natural / Dry",7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0,0,0,"",16,"April 23rd, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1150,1150,1150
"226","Arabica","owen carver","Brazil","café do paraíso","","café do paraíso","not assigned","café do paraíso","894m - 1183m","minas gerais, br","Café do Paraíso",1,"2 kg","Specialty Coffee Association","2012","May 20th, 2013","Owen Carver","Mundo Novo","Natural / Dry",7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11,0,0,"Green",3,"May 20th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",894,1183,1038.5
"252","Arabica","ipanema coffees","Brazil","fazenda rio verde","","ipanema coffees","002/4177/0121","ipanema coffees","1260","south of minas","Ipanema Coffees",320,"60 kg","Specialty Coffee Association","2013/2014","January 2nd, 2014","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1,0,0,"Green",0,"January 2nd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"259","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0,0,0,"Green",3,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"262","Arabica","ipanema coffees","Brazil","capoeirinha","007/16E","dry mill","002/1660/0105","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,0,2,"Green",7,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"280","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"283","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0066","ipanema coffees","1200","south of minas","Ipanema Agrícola SA",300,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Semi-washed / Semi-pulped",7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0,0,0,"Green",1,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1200,1200,1200
"286","Arabica","ipanema coffees","Brazil","fazenda rio verde","","ipanema coffees","002/4177/0121","ipanema coffees","1260","south of minas","Ipanema Coffees",320,"60 kg","Specialty Coffee Association","2013/2014","December 26th, 2013","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,0.1,0,0,"Green",0,"December 26th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"292","Arabica","jacques pereira carneiro","Brazil","fazenda do sertao","","cocarive","002/1352/0052","exportadora de cafés carmo de minas ltda","1.250 m","carmo de minas","Nazareth Dias Pereira",300,"1 kg","NUCOFFEE","2011/2012","December 21st, 2011","Jacques Pereira Carneiro","Yellow Bourbon","Semi-washed / Semi-pulped",7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,0.12,0,0,"Green",3,"December 20th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"297","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,0.11,0,0,"Green",5,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"315","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,0.11,0,0,"Green",2,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"319","Arabica","ipanema coffees","Brazil","capoeirinha","008/16A","dry mill","002/1660/0106","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,0.11,0,2,"Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"336","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,0,0,"Green",5,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"351","Arabica","nucoffee","Brazil","fazenda jericó","","","002/1251/0181","nucoffee","1100m","south of minas","Alvaro Resende Aguiar",33,"60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,0,0,"Blue-Green",2,"January 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"385","Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm","","","002/4542/0886","bourbon specialty coffees","","vale da grama","GABRIEL CARVALHO DIAS",300,"60 kg","Brazil Specialty Coffee Association","2014","January 15th, 2015","BOURBON SPECIALTY COFFEES","Yellow Bourbon","Semi-washed / Semi-pulped",7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12,0,0,"Green",6,"January 15th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"400","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0106","ipanema coffees","1227","south of minas","Ipanema Agrícola SA",10,"2 kg","Specialty Coffee Association","2015/2016","October 12th, 2015","Ipanema Coffees","Catuai","Semi-washed / Semi-pulped",7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1,0,"Green",5,"October 11th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1227,1227,1227
"422","Arabica","bourbon specialty coffees","Brazil","","43102245 - P4615","dinamo armazens gerais ltda","002/4542/0189","bourbon specialty coffees","","campos altos - cerrado","",300,"60 kg","Brazil Specialty Coffee Association","2016","January 12th, 2016","BOURBON SPECIALTY COFFEES","","",7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,0.12,0,0,"Green",4,"January 11th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"435","Arabica","nucoffee","Brazil","água limpa","","","002/1251/0241","nucoffee","1200m","grama valley","Eliane de Andrade Cyrino Noqueira",30,"60 kg","NUCOFFEE","2012","February 23rd, 2012","NUCOFFEE","Yellow Bourbon","Semi-washed / Semi-pulped",7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11,0,0,"Blue-Green",1,"February 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1200,1200,1200
"441","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11,0,0,"Green",4,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"472","Arabica","nucoffee","Brazil","campo das flores","","","002/1251/0250","nucoffee","1000m","south of minas","Giovane Senna Bonacorssi",50,"60 kg","NUCOFFEE","2012","March 19th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17,0.12,0,0,"Green",1,"March 19th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"473","Arabica","nucoffee","Brazil","são francisco da serra","","","002/1251/0245","nucoffee","950m","mogiana","Maria Aparecida Ferreira Azevedo",100,"60 kg","NUCOFFEE","2012","February 17th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11,0,0,"Green",4,"February 16th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",950,950,950
"475","Arabica","nucoffee","Brazil","fazenda do lobo","","","002/1251/0075","nucoffee","1000m","south of minas","Andrea Galvão Noqueira",25,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Mundo Novo","Semi-washed / Semi-pulped",7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12,0,0,"Blue-Green",3,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"476","Arabica","nucoffee","Brazil","olhos d'agua","","","","","900m","south of minas","Mario Dornelles Alvarenga",90,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","","",7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17,0.02,0,0,"",2,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",900,900,900
"481","Arabica","ipanema coffees","Brazil","capoeirinha","261/15","dry mill","002/1660/0049","ipanema coffees","905","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2015","April 25th, 2016","Ipanema Coffees","Yellow Bourbon","Pulped natural / honey",7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,83.08,0.11,0,2,"Bluish-Green",2,"April 25th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",905,905,905
"482","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0164","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08,0,0,0,"Green",3,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"484","Arabica","bourbon specialty coffees","Brazil","","","","002/4542/0477","bourbon specialty coffees","","chapadão de ferro (cerrado mineiro)","",300,"60 kg","Brazil Specialty Coffee Association","2015","April 20th, 2015","BOURBON SPECIALTY COFFEES","Mundo Novo","Natural / Dry",7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83.08,0.11,0,0,"Green",13,"April 19th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"485","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0064","ipanema coffees","1200","south of minas","Ipanema Agrícola SA",300,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Washed / Wet",7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08,0,0,0,"Green",1,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1200,1200,1200
