,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
"497","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,83,0,0,0,"Green",4,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"498","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","007/16A","dry mill","002/1660/0105","ipanema coffees","894","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,83,0.11,0,3,"Green",5,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",894,894,894
"499","Arabica","ipanema coffees","Brazil","capoeirinha","007/16F","dry mill","002/1660/0105","ipanema coffees","872","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,83,0.11,0,2,"Bluish-Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",872,872,872
"507","Arabica","irene alves santos","Brazil","fazenda santo antonio","","dry","651","atlantica eportacao e importcao ltda","900-1100","high mogiana","João Alves Toledo",305,"2 kg","Brazil Specialty Coffee Association","2014","February 13th, 2015","Irene Alves Santos","Catuai","Natural / Dry",7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83,0,0,0,"Green",0,"February 13th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",900,1100,1000
"513","Arabica","jacques pereira carneiro","Brazil","sertao farm","","cocarive","002/1352/0077","exportadora de cafés carmo de minas ltda","1250","sul de minas","NAZARETH DIAS PEREIRA",250,"2 kg","Specialty Coffee Association","2013/2014","January 2nd, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Semi-washed / Semi-pulped",7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,83,0.12,0,0,"Bluish-Green",4,"January 2nd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
"534","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,82.92,0,0,0,"Green",0,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"544","Arabica","expocaccer coop dos cafeic do cerrado ltda","Brazil","fazenda pantano","","","999","expocaccer","11000 metros","cerrado","GERSON NAIMEG",300,"2 kg","Brazil Specialty Coffee Association","2014/2015","August 15th, 2014","Expocaccer Coop dos Cafeic do Cerrado Ltda","Moka Peaberry","Semi-washed / Semi-pulped",7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92,0.11,0,0,"Green",16,"August 15th, 2015","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",11000,11000,11000
"562","Arabica","ipanema coffees","Brazil","capoeirinha","259/15","dry mill","002/1660/0047","ipanema coffees","905","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2015","February 6th, 2017","Ipanema Coffees","Yellow Bourbon","Pulped natural / honey",7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,82.83,0.11,0,2,"Bluish-Green",2,"February 6th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",905,905,905
"567","Arabica","cafebras","Brazil","santa fé 2","","via seca","002/1495/0695","cafebras comercio de cafés do brasil sa","900","cerrado","Antonio Batista Francisquine",300,"60 kg","Brazil Specialty Coffee Association","2015","May 26th, 2015","Cafebras","Catuai","Natural / Dry",7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,82.83,0.12,2,0,"Green",6,"May 25th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",900,900,900
"590","Arabica","ipanema coffees","Brazil","capoeirinha","260/15","dry mill","002/1660/0048","ipanema coffees","905","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2015","April 25th, 2016","Ipanema Coffees","Yellow Bourbon","Pulped natural / honey",7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,82.75,0.11,0,2,"Bluish-Green",1,"April 25th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",905,905,905
"608","Arabica","ipanema coffees","Brazil","capoeirinha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,82.67,0,0,0,"Green",4,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"609","Arabica","ipanema coffees","Brazil","capoeirinha","007/16D","dry mill","002/1660/0105","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,82.67,0.11,0,2,"Bluish-Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"614","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,82.67,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"615","Arabica","bourbon specialty coffees","Brazil","santa maria","","","002/4542/0213","bourbon specialty coffees","","monte carmelo","MANOEL CARDOSO AND GALILEO CARDOSO",300,"60 kg","Brazil Specialty Coffee Association","2014","January 15th, 2015","BOURBON SPECIALTY COFFEES","Catuai","Natural / Dry",7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,82.67,0.12,0,0,"",9,"January 15th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"636","Arabica","gabriel barbara","Brazil","","GO-669-16","copag armazéns gerais ltda.","","volcafe ltda.","","south of minas","",198,"59 kg","Brazil Specialty Coffee Association","2016","April 19th, 2017","Gabriel Barbara","","Pulped natural / honey",7.5,7.58,7.42,7.5,7.75,7.33,10,10,10,7.5,82.58,0.11,0,0,"Green",7,"April 19th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"638","Arabica","bourbon specialty coffees","Brazil","","43102245/P4615","dinamo armazens gerais ltda","002/4542/0190","bourbon specialty coffees","","campos altos - cerrado","",300,"60 kg","Brazil Specialty Coffee Association","2016","December 28th, 2015","BOURBON SPECIALTY COFFEES","","",7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,8,82.58,0,1,9,"Green",2,"December 27th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"653","Arabica","nucoffee","Brazil","fazenda chamusca","","","002/1251/0359","","900-1050m","south of minas","Mario Garcia Reis Neto",42,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","Mundo Novo","",7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58,0,0,0,"",4,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",900,1050,975
"654","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5,0.11,0,0,"Green",4,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"663","Arabica","ipanema coffees","Brazil","fazenda rio verde","","ipanema coffees","002 - 4177 - 0039","ipanema coffees","1260","south of minas","Ipanema Coffees",69,"60 kg","Specialty Coffee Association","2013/2014","January 14th, 2014","Ipanema Coffees","Yellow Bourbon","Semi-washed / Semi-pulped",7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,82.5,0.11,0,0,"Bluish-Green",0,"January 14th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"671","Arabica","jacques pereira carneiro","Brazil","fazenda do sertao","","cocarive","002/1352/0099","exportadora de cafés carmo de minas ltda","1.250 m","carmo de minas","Nazareth Dias Pereira",300,"60 kg","NUCOFFEE","2012","March 16th, 2012","Jacques Pereira Carneiro","Bourbon","Semi-washed / Semi-pulped",7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,0,0,0,"Blue-Green",4,"March 16th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"682","Arabica","bourbon specialty coffees","Brazil","","43102245 - P4615","dinamo armazens gerais ltda","002/4542/0190","bourbon specialty coffees","","campos altos - cerrado","",300,"60 kg","Brazil Specialty Coffee Association","2016","January 12th, 2016","BOURBON SPECIALTY COFFEES","","",7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,0.11,0,1,"Green",0,"January 11th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"684","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"687","Arabica","nucoffee","Brazil","fazenda serra negra","","","002/1251/0228","nucoffee","1000m","south of minas","Betina Vilela Reis",39,"60 kg","NUCOFFEE","2012","May 8th, 2014","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,0.12,0,0,"Blue-Green",1,"May 8th, 2015","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"689","Arabica","ipanema coffees","Brazil","fazenda rio verde","","ipanema coffees","002/4177/0121","ipanema coffees","1260","south of minas","Ipanema Coffees",220,"60 kg","Specialty Coffee Association","2013/2014","December 30th, 2013","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42,0,0,0,"Green",0,"December 30th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"703","Arabica","nucoffee","Brazil","santa mariana","","","002/1251/185","nucoffee","","south of minas","Glycia Maria",51,"60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Arusha","Natural / Dry",7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42,0.11,0,0,"Blue-Green",2,"January 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",NA,NA,NA
"707","Arabica","pedro santos e silva","Brazil","fazenda são pedro","0063/17","alfenas","","olam","982","cerrado","Tulio Taft Bovaretto",320,"2 kg","Brazil Specialty Coffee Association","2016","February 9th, 2017","Pedro Santos e Silva","Catuai","Natural / Dry",7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,0,3,"Green",11,"February 9th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",982,982,982
"708","Arabica","gabriel barbara","Brazil","","2016/0001","copag","02 / 143-0 / 0044","volcafe ltda.","","cerrado","",305,"59 kg","Brazil Specialty Coffee Association","2016 / 2017","October 13th, 2016","Gabriel Barbara","","Natural / Dry",7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,0.11,0,4,"Green",14,"October 13th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"709","Arabica","ipanema coffees","Brazil","capoeirinha","008/16B","dry mill","002/1660/0106","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,0.11,0,2,"Bluish-Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"713","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0107","ipanema coffees","1268","south of minas","Ipanema Agrícola SA",12,"2 kg","Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Bourbon","Natural / Dry",8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,0.07,0,0,"Green",0,"October 7th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1268,1268,1268
"714","Arabica","bourbon specialty coffees","Brazil","","","","002/4542/0478","bourbon specialty coffees","","chapadão de ferro (cerrado mineiro)","",300,"60 kg","Brazil Specialty Coffee Association","2015","April 20th, 2015","BOURBON SPECIALTY COFFEES","Mundo Novo","Natural / Dry",7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33,0.11,0,0,"Green",10,"April 19th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"717","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",10,"2 kg","Specialty Coffee Association","2014/2015","October 15th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,0,0,"Blue-Green",0,"October 15th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"731","Arabica","nucoffee","Brazil","sitío santa luzia","","","002/1251/0243","nucoffee","1100m","grama valley","José Malagutti",16,"60 kg","NUCOFFEE","2012","April 11th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,0.12,0,0,"Green",2,"April 11th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"733","Arabica","nucoffee","Brazil","café citrus","","","002/1251/0247","nucoffee","950m","south of minas","José Alberto dos Santos",44,"60 kg","NUCOFFEE","2012","February 17th, 2012","NUCOFFEE","Mundo Novo","Washed / Wet",7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,0.11,0,0,"Green",2,"February 16th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",950,950,950
"735","Arabica","klem organics","Brazil","fazendas klem ltda","KLEM-C04","dry mill","002/1566/0003","klem organics coffee","1100","brazil matas de minas","NAGIPE VIANA KLEM",1062,"5 kg","Specialty Coffee Association","","November 15th, 2017","KlemOrganics","Catuai","Washed / Wet",7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,2,6,"Green",10,"November 15th, 2018","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"738","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",180,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,0,0,0,"Green",9,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"742","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",320,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,0.11,0,0,"Green",0,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"755","Arabica","nucoffee","Brazil","caxambu","","","002/1251/0183","nucoffee","","","Carmem Lucia Chaves de Brito",84,"60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Arusha","Natural / Dry",7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82.25,0.12,0,0,"Green",1,"January 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",NA,NA,NA
"757","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","007/16C","dry mill","002/1660/0105","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17,0.11,0,1,"Green",5,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"762","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0164","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"766","Arabica","bourbon specialty coffees","Brazil","","","","002/4542/0274","bourbon specialty coffees","","cerrado","",300,"60 kg","Brazil Specialty Coffee Association","2014","January 15th, 2015","BOURBON SPECIALTY COFFEES","Mundo Novo","Natural / Dry",7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,82.17,0.12,0,0,"Green",1,"January 15th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
