,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
"780","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","007/16B","dry mill","002/1660/0105","ipanema coffees","894","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,82.08,0.11,0,1,"Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",894,894,894
"781","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82.08,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"797","Arabica","ipanema coffees","Brazil","capoeirinha","007/16G","dry mill","002/1660/0105","ipanema coffees","944","south of minas","Ipanema Agricola",230,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,82,0.11,0,2,"Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",944,944,944
"808","Arabica","owen carver","Brazil","café do paraíso","","café do paraíso","??","café do paraíso","894m - 1183m","minas gerais, br","Café do Paraíso",1,"2 kg","Specialty Coffee Association","2012","May 21st, 2013","Owen Carver","Mundo Novo","Natural / Dry",7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,82,0.11,0,0,"Blue-Green",0,"May 21st, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",894,1183,1038.5
"810","Arabica","nucoffee","Brazil","campo das flores","","","002/1251/0237","nucoffee","1000m","south of minas","Vander Bonaccorsi",50,"60 kg","NUCOFFEE","2012","June 4th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,82,0.12,0,0,"Green",1,"June 4th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"811","Arabica","nucoffee","Brazil","são josé da lagoa","","","002/1251/0240","nucoffee","1050m","cerrado","José Hiroiti",75,"60 kg","NUCOFFEE","2012","April 11th, 2012","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,82,0.11,0,0,"Blue-Green",1,"April 11th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1050,1050,1050
"813","Arabica","nucoffee","Brazil","santa mariana/são vicente","","","001/1251/0253","nucoffee","950m","south of minas","Maria da Gloria Junqueira",53,"60 kg","NUCOFFEE","2012","February 17th, 2012","NUCOFFEE","Mundo Novo","Semi-washed / Semi-pulped",7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,82,0.12,0,0,"Green",2,"February 16th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",950,950,950
"819","Arabica","gabriel barbara","Brazil","santa bárbara","2016/0002","copag","02 / 143-0 / 0044","volcafe ltda.","1020","monte carmelo","Múcio Cardoso",305,"59 kg","Brazil Specialty Coffee Association","2016 / 2017","October 26th, 2016","Gabriel Barbara","Catuai","Natural / Dry",7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,81.92,0.11,0,0,"Green",4,"October 26th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1020,1020,1020
"832","Arabica","nucoffee","Brazil","sitío corrego da olaria/são caetano","","","002/1241/0244","nucoffee","1100m","grama valley","Fioravante Malagutti",8,"60 kg","NUCOFFEE","2012","February 29th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,81.92,0.12,0,0,"Green",3,"February 28th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"836","Arabica","gabriel barbara","Brazil","helena","2017/001","copag","02/0143-0/0292","volcafe ltda.","973","monte carmelo","Helena Pingnatti Ricci",200,"59 kg","Brazil Specialty Coffee Association","2016","January 20th, 2017","Gabriel Barbara","Mundo Novo","Natural / Dry",7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,81.83,0.11,0,1,"Green",3,"January 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",973,973,973
"839","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,81.83,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"840","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0164","ipanema coffees","1","south of minas","Ipanema Agrícola SA",300,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,81.83,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"848","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",320,"2 kg","Specialty Coffee Association","2014/2015","October 15th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,81.83,0.11,0,0,"Green",0,"October 15th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"853","Arabica","jacques pereira carneiro","Brazil","sertao farm","","armazens gerais cocarive","002/1352/0159","exportadora de cafés carmo de minas ltda","1250","sul de minas","NAZARETH DIAS PEREIRA",300,"60 kg","Specialty Coffee Association","2012","March 2nd, 2013","Jacques Pereira Carneiro","Bourbon","Semi-washed / Semi-pulped",7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,0.12,0,0,"Bluish-Green",0,"March 2nd, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
"857","Arabica","nucoffee","Brazil","cianorte","","","002/1251/0361","","900-950m","cerrado","Marilsa de Fatima Peternela",58,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","Mundo Novo","",7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,81.83,0.02,0,0,"",2,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",900,950,925
"863","Arabica","cafe politico","Brazil","","","","2-1495-529","cafe politico","","","",1,"5 lbs","Specialty Coffee Association","2013","August 25th, 2014","Cafe Politico","","Natural / Dry",7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,81.75,0.1,0,0,"Bluish-Green",1,"August 25th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"871","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67,0.11,0,0,"Green",5,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"878","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"881","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/4177/0161","ipanema coffees","1260","south of minas","Ipanema Agrícola SA",300,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Washed / Wet",7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67,0.1,0,0,"Green",2,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"903","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0058","ipanema coffees","1260","south of minas","Ipanema Coffees",300,"60 kg","NUCOFFEE","2013/2014","November 6th, 2013","Ipanema Coffees","Yellow Bourbon","Washed / Wet",7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,81.58,0.12,0,0,"Blue-Green",3,"November 6th, 2014","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1260,1260,1260
"921","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","carapina armazens gerais","002/135-2/0276","exportadora de cafés carmo de minas ltda","1200","sul de minas","MARIA ROGERIA COSTA PEREIRA",300,"60 kg","Specialty Coffee Association","2014","July 29th, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Semi-washed / Semi-pulped",7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0,1,0,"Green",1,"July 29th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1200,1200,1200
"931","Arabica","jacques pereira carneiro","Brazil","sertao","","cocarive","002/1352/0099","exportadora de cafés carmo de minas ltda","1.25","sul de minas","Nazareth Dias Pereira",300,"1 kg","NUCOFFEE","2012","April 12th, 2012","Jacques Pereira Carneiro","Bourbon","Semi-washed / Semi-pulped",7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,81.5,0.12,0,0,"Blue-Green",2,"April 12th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",125,125,125
"937","Arabica","cafebras","Brazil","fazenda rio brilhante","","17/18","002/1495/0134","cafebras comercio de cafés do brasil sa","1100","cerrado","INACIO URBAN",300,"60 kg","Brazil Specialty Coffee Association","2015/2016","December 3rd, 2015","Cafebras","Catuai","Natural / Dry",7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42,0.11,0,0,"Green",2,"December 2nd, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1100,1100,1100
"941","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",320,"2 kg","Specialty Coffee Association","2014/2015","October 17th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42,0,0,0,"Green",0,"October 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"954","Arabica","cafebras","Brazil","fazenda sacramento","","17/18","002/1495/0134","cafebras comercio de cafés do brasil sa","1100","cerrado","NELSON AZEVEDO FRANÇA",300,"60 kg","Brazil Specialty Coffee Association","2015/2016","November 20th, 2015","Cafebras","Catuai","Natural / Dry",7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33,0.11,0,0,"Green",14,"November 19th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1100,1100,1100
"956","Arabica","jacques pereira carneiro","Brazil","sertao farm","","carapina","002/135-2/0076","exportadora de cafés carmo de minas ltda","1200","mantiqueira de minas","NAZARETH DIAS PEREIRA",300,"60 kg","Brazil Specialty Coffee Association","2014/2015","December 16th, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Other",7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33,0.12,0,0,"Green",6,"December 16th, 2015","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1200,1200,1200
"964","Arabica","ipanema coffees","Brazil","rio verde","","ipanema comercial e exportadora sa","002/4177/0164","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"982","Arabica","bourbon specialty coffees","Brazil","juliana","","","002/454-2/0379","bourbon specialty coffees","","monte carmelo","JOSE RENATO BAIARDI",300,"1 kg","NUCOFFEE","2013","February 4th, 2014","BOURBON SPECIALTY COFFEES","Catuai","Natural / Dry",7.42,7.42,7.17,7.42,7.33,7.25,10,10,10,7.17,81.17,0.11,0,0,"Green",3,"February 4th, 2015","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",NA,NA,NA
"985","Arabica","nucoffee","Brazil","fazenda são sebastião","","","002/1251/0182","nucoffee","1000m","south of minas","Bruno de Andrade Frota",17,"60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,81.17,0.12,0,0,"Green",1,"January 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"988","Arabica","gregorio sebba","Brazil","fazenda são josé mirante","14","garca armazens","","garca armazens","695","alta paulista (sao paulo)","José Olavo Boechat",500,"60 kg","Specialty Coffee Association","2016","June 21st, 2017","Gregorio Sebba","Mundo Novo","Natural / Dry",7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,81.08,0.11,5,0,"Green",8,"June 21st, 2018","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",695,695,695
"999","Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm","43104350 - K25247","dry mill","002/4542/0044","bourbon specialty coffees","","grama valley","GABRIEL CARVALHO DIAS",300,"59 kg","Brazil Specialty Coffee Association","","January 16th, 2018","BOURBON SPECIALTY COFFEES","Bourbon","Pulped natural / honey",7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,81,0.11,0,6,"Green",9,"January 16th, 2019","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"1001","Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm","43103820 - K24258 - 030/16","dry mill","002/4542/0966","bourbon specialty coffees","","grama valley","GABRIEL DE CARVALHO DIAS",300,"59 kg","Brazil Specialty Coffee Association","2016 / 2017","September 9th, 2016","BOURBON SPECIALTY COFFEES","Yellow Bourbon","Pulped natural / honey",7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,81,0.11,0,2,"Bluish-Green",3,"September 9th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"1007","Arabica","bourbon specialty coffees","Brazil","","","","002/4542/0275","bourbon specialty coffees","","cerrado","",300,"60 kg","Brazil Specialty Coffee Association","2014","January 15th, 2015","BOURBON SPECIALTY COFFEES","Mundo Novo","Natural / Dry",7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,81,0.12,0,0,"Green",0,"January 15th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"1021","Arabica","jacques pereira carneiro","Brazil","sertao farm","","cafeco 3","002/135-2/0075","exportadora de cafés carmo de minas ltda","1200","mantiqueira de minas","NAZARETH DIAS PEREIRA",300,"60 kg","Brazil Specialty Coffee Association","2014/2015","December 16th, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Natural / Dry",7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,80.92,0.12,0,0,"Green",8,"December 16th, 2015","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1200,1200,1200
"1023","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",320,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,80.92,0.1,0,0,"None",0,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"1038","Arabica","bourbon specialty coffees","Brazil","castelhana farm","","","002/4542/0021","bourbon specialty coffees","","monte carmelo","DIOGO TUDELA NETO",320,"60 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","BOURBON SPECIALTY COFFEES","","Natural / Dry",7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,80.75,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"1061","Arabica","bourbon specialty coffees","Brazil","leticia farm","91","internacional armazens gerais","","bourbon specialty coffees","","monte carmelo","MAX KEND TAKIUTI E OUTROS",94,"60 kg","Brazil Specialty Coffee Association","2016","March 11th, 2016","BOURBON SPECIALTY COFFEES","","",7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,80.58,0.11,0,0,"Green",7,"March 11th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",NA,NA,NA
"1064","Arabica","ipanema coffees","Brazil","rio verde","","ipanema coffees","002/1660/0066","ipanema coffees","1200","south of minas","Ipanema Agrícola SA",300,"2 kg","Specialty Coffee Association","2014/2015","October 17th, 2014","Ipanema Coffees","Bourbon","Semi-washed / Semi-pulped",7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58,0,0,0,"Green",3,"October 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1200,1200,1200
"1073","Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm","","internacional armazens gerais","002/4542/0049","bourbon specialty coffees","1250 m","vale da grama","Lindolpho de Carvalho Dias",300,"60 kg","Brazil Specialty Coffee Association","2015/2016","November 17th, 2015","BOURBON SPECIALTY COFFEES","Yellow Bourbon","Semi-washed / Semi-pulped",7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5,0.11,0,0,"Green",3,"November 16th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1250,1250,1250
"1076","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","carapina armazens gerais","002/135-2/0182","exportadora de cafés carmo de minas ltda","1250","mantiqueira de minas","MARIA ROGERIA COSTA PEREIRA",300,"60 kg","Specialty Coffee Association","2013","April 17th, 2014","Jacques Pereira Carneiro","Yellow Bourbon","Semi-washed / Semi-pulped",7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5,0.1,0,0,"None",10,"April 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
