n,two,three,four,five,six,seven,eight,nine
1,0,1.609437912,0.6931471806,4.17438727,1.791759469,6.499787041,1.791759469,4.158883083
2,0.6931471806,2.772588722,0.6931471806,6.298949247,0.6931471806,9.608848,2.302585093,4.564348191
3,0.6931471806,3.17805383,1.386294361,7.482118924,2.079441542,11.53296336,0.6931471806,3.36729583
4,1.386294361,4.276666119,0,9.412464556,1.386294361,14.31865395,2.48490665,3.433987204
5,0.6931471806,3.871201011,1.791759469,9.541081934,2.48490665,14.93237133,0.6931471806,5.220355825
6,1.386294361,4.787491743,0,10.91436093,0,16.77617301,2.302585093,3.761200116
7,0.6931471806,4.276666119,1.386294361,10.75363848,1.609437912,16.94701037,1.386294361,5.257495372
8,1.386294361,5.123963979,0,11.91518544,0.6931471806,18.43053214,2.079441542,6.023447593
9,1.791759469,5.743003188,1.791759469,12.96556921,2.397895273,19.9175935,2.302585093,4.204692619
10,0.6931471806,4.787491743,0,12.28414418,1.609437912,19.49459165,2.63905733,4.234106505
11,1.791759469,6.011267174,0,13.76489072,1.945910149,21.24100117,0.6931471806,5.38907173
12,1.386294361,5.743003188,1.098612289,13.76590006,0,21.50459688,0,4.343805422
13,0.6931471806,5.123963979,0,13.29301713,2.772588722,21.17514292,1.609437912,6.388561406
14,1.386294361,5.886104031,1.945910149,14.19454955,1.791759469,22.21793294,1.386294361,6.184148891
15,1.791759469,6.396929655,1.609437912,14.91771638,0,23.15557534,2.63905733,6.049733455
16,1.791759469,6.510258341,1.386294361,15.25697469,2.833213344,23.71980641,0.6931471806,5.411646052
17,0.6931471806,5.480638923,0.6931471806,14.36275297,0,22.95755504,1.609437912,4.744932128
18,1.791759469,6.643789733,0,15.65689794,1.945910149,24.38523668,0,6.173786104
19,1.386294361,6.313548046,1.386294361,15.47574804,3.135494216,24.35138368,0.6931471806,5.942799375
20,0.6931471806,5.66296048,1.098612289,14.90963278,0,23.86888008,2.63905733,6.284134161
21,1.791759469,6.81563999,1.386294361,16.17181081,1.609437912,25.24236852,0.6931471806,6.572282543
22,1.386294361,6.473890696,1.609437912,15.95654566,2.397895273,25.15233012,2.397895273,6.115892125
23,1.791759469,6.939253946,1.098612289,16.54231185,1.945910149,25.85930494,1.609437912,6.448889394
24,2.079441542,7.305188215,1.609437912,17.0653826,0,26.54034936,1.386294361,5.093750201
25,1.386294361,6.674561392,1.098612289,16.55835631,1.098612289,26.15501273,2.079441542,6.216606101
26,0.6931471806,6.011267174,0,15.95445609,2.564949357,25.61009106,0.6931471806,5.141663557
27,1.386294361,6.733401892,0,16.73483252,2.944438979,26.44906435,0.6931471806,5.153291594
28,0.6931471806,6.068425588,1.386294361,16.12592095,1.609437912,25.89584853,1.098612289,6.568077911
29,1.386294361,6.788971743,0.6931471806,16.90150392,3.17805383,26.72678652,0,5.908082938
30,2.63905733,8.119696253,0,18.39122392,1.791759469,28.37956571,1.609437912,5.231108617
31,1.386294361,6.939253946,0,17.35226628,0,27.47791682,3.295836866,5.241747015
32,1.791759469,7.38274645,2.397895273,17.87207433,0,28.07438755,2.079441542,7.701200181
33,0.6931471806,6.313548046,1.609437912,16.86125511,0,27.1213501,0,6.989335266
34,2.302585093,7.965545573,1.386294361,18.59952426,2.772588722,28.94742323,0,6.80682936
35,0.6931471806,6.396929655,1.098612289,17.11139187,1.945910149,27.53823126,1.791759469,6.549650742
36,1.791759469,7.521859252,0,18.28929106,1.945910149,28.76954626,2.079441542,5.468060141
37,1.791759469,7.560080465,1.098612289,18.40392678,1.386294361,28.96055933,0.6931471806,6.583409222
38,1.386294361,7.185387016,0,18.09057206,1.609437912,28.70827085,0.6931471806,5.501258211
39,1.791759469,7.620705087,0.6931471806,18.58576051,2.079441542,29.26354874,1.609437912,7.321188557
40,1.791759469,7.655390645,1.386294361,18.68979632,3.17805383,29.43690702,1.098612289,6.954638865
41,0.6931471806,6.579251212,1.386294361,17.65834296,2.197224577,28.44979378,2.079441542,5.587248658
42,2.302585093,8.221478947,0,19.36684184,1.945910149,30.22548431,1.945910149,7.562681247
43,0.6931471806,6.643789733,1.945910149,17.85195478,0,28.77247393,2.197224577,5.645446898
44,1.386294361,7.3524411,0,18.59169259,1.609437912,29.54340222,1.098612289,5.65248918
45,0.6931471806,6.674561392,0,17.94426814,2.890371758,28.92632683,0,6.356107661
46,2.48490665,8.501063809,0.6931471806,19.84108721,1.945910149,30.89456812,1.386294361,5.673323267
47,2.48490665,8.557951184,0,20.01165729,1.791759469,31.17869859,1.791759469,7.904334842
48,1.386294361,7.495541944,2.197224577,19.02096894,2.890371758,30.25881919,0,6.844815479
49,0.6931471806,6.81563999,1.098612289,18.36749767,0,29.63169892,2.564949357,5.758901774
50,1.386294361,7.521859252,0,19.09991681,2.772588722,30.39039223,2.079441542,6.461468176
51,1.791759469,7.948738455,0.6931471806,19.56971082,2.079441542,30.90321648,1.386294361,7.399398083
52,0.6931471806,6.866933284,1.609437912,18.52137567,2.397895273,29.88815914,1.791759469,8.23562572
53,2.302585093,8.501063809,2.397895273,20.20528709,0.6931471806,31.62237851,2.772588722,5.872117789
54,1.791759469,8.022240917,0,19.79019612,1.098612289,31.27065519,0,7.498315871
55,1.791759469,8.045588281,1.609437912,19.86023185,2.079441542,31.3873708,1.791759469,6.601230119
56,1.791759469,8.068402959,0.6931471806,19.92866995,2.772588722,31.5014244,1.098612289,6.612041035
57,0.6931471806,6.98471632,0.6931471806,18.87472114,3.135494216,30.47706217,1.098612289,7.888709524
58,1.791759469,8.098034756,1.945910149,20.01755802,0.6931471806,31.649559,2.197224577,7.924795914
59,1.386294361,7.710653324,1.945910149,19.66627545,3.401197382,31.33428402,1.386294361,5.998936562
60,0.6931471806,7.028201432,0,19.00517533,0,30.69448392,1.386294361,6.003887067
61,2.302585093,8.658692754,0,20.67806226,2.772588722,32.41015124,0,6.704414355
62,2.63905733,9.035986985,0.6931471806,21.13724341,1.945910149,32.95154264,0,6.018593214
63,1.386294361,7.812782819,0,19.97265445,2.079441542,31.84489985,2.197224577,7.126890809
64,0.6931471806,7.129297549,1.098612289,19.30846138,2.197224577,31.19995683,2.63905733,7.431299675
65,1.386294361,7.832014181,1.386294361,20.03034695,0,31.94105139,1.098612289,6.056784013
66,2.63905733,9.112948026,0,21.3680489,1.945910149,33.3360893,1.386294361,6.061456919
67,1.791759469,8.296047643,0,20.61155748,2.944438979,32.6394928,1.386294361,6.761572769
68,2.302585093,8.830543011,0.6931471806,21.19352538,1.098612289,33.26911051,2.079441542,6.075346031
69,0.6931471806,7.238496841,0,19.63605724,2.890371758,31.74594657,1.791759469,6.079933195
70,1.386294361,7.940227765,0,20.35497986,1.945910149,32.48209317,0.6931471806,6.779921907
71,1.791759469,8.359837381,0.6931471806,20.80291703,0,32.95840928,1.098612289,7.711996507
72,2.079441542,8.666991557,1.609437912,21.14906582,0,33.34361986,0,8.33062262
73,1.791759469,8.398409655,2.197224577,20.91862859,3.135494216,33.15125309,1.386294361,6.850126166
74,1.791759469,8.414495793,0.6931471806,20.96688492,2.197224577,33.23167684,0,8.48467
75,1.386294361,8.022240917,2.302585093,20.6010144,0.6931471806,32.89214255,1.098612289,6.899723107
76,1.791759469,8.440744019,0.6931471806,21.04562634,2.564949357,33.36290712,1.386294361,7.604894481
77,2.079441542,8.746398334,1.386294361,21.38726833,1.609437912,33.74059433,2.564949357,6.228511004
78,1.386294361,8.068402959,0,20.7394981,2.397895273,33.12294466,1.386294361,7.849713758
79,2.079441542,8.776475789,1.609437912,21.47749465,3.17805383,33.89096146,1.791759469,7.35436233
80,2.302585093,9.021598247,1.098612289,21.76662323,2.944438979,34.22416054,1.609437912,7.365812837
81,0.6931471806,7.426549072,1.098612289,20.20021134,1.609437912,32.6861991,0.6931471806,6.96979067
82,2.302585093,9.05017162,0.6931471806,21.85233524,1.791759469,34.3670004,0.6931471806,8.239329428
83,0.6931471806,7.454719949,1.945910149,20.28472366,0.6931471806,32.82705245,2.197224577,7.699842407
84,1.791759469,8.562548893,1.386294361,21.4110279,0,33.97188796,1.609437912,8.534050308
85,1.386294361,8.168486417,2.197224577,21.03974392,3.091042453,33.62334676,1.791759469,7.74586823
86,1.791759469,8.585225602,1.386294361,21.47905593,2.833213344,34.08526451,1.386294361,7.759614151
87,2.079441542,8.888480848,1.386294361,21.81349025,2.079441542,34.45092151,2.079441542,7.483806688
88,1.386294361,8.208491752,1.098612289,21.15975834,1.098612289,33.82336817,1.945910149,6.391917113
89,0.6931471806,7.521859252,0,20.4861409,2.564949357,33.16274672,1.609437912,7.090076836
90,1.386294361,8.221478947,0.6931471806,21.19871944,2.079441542,33.88830252,2.48490665,6.401917197
91,2.48490665,9.337149219,0,22.34864807,1.609437912,35.07267931,1.386294361,6.405228458
92,2.079441542,8.952605376,0,22.00585445,3.465735903,34.77151287,0.6931471806,7.103322063
93,1.386294361,8.271804031,0.6931471806,21.34969292,2.397895273,34.13992204,2.944438979,7.806289289
94,2.079441542,8.977146485,1.386294361,22.07947449,0,34.89420747,1.791759469,8.043984431
95,1.386294361,8.296047643,1.609437912,21.42242296,0.6931471806,34.26113746,1.945910149,8.059908335
96,1.791759469,8.711443319,1.609437912,21.85769899,2.995732274,34.71631945,1.791759469,7.154615357
97,2.48490665,9.422220731,0.6931471806,22.60383744,1.791759469,35.49795298,2.079441542,7.160845907
98,0.6931471806,7.643961949,0.6931471806,20.85244798,2.944438979,33.77325682,0.6931471806,7.574045005
99,2.890371758,9.860162428,1.098612289,23.10688274,2.772588722,36.06630228,1.791759469,6.481577129
100,1.791759469,8.783855897,0,22.07493198,0,35.07836654,1.609437912,7.17930797
101,2.302585093,9.30928032,0.6931471806,22.62960564,1.945910149,35.66235825,1.098612289,8.106212903
102,1.791759469,8.812843434,1.609437912,22.16189288,2.197224577,35.22329852,1.386294361,6.50578406
103,1.791759469,8.823500728,0,22.19386416,0.6931471806,35.27658297,1.386294361,7.899524472
104,0.6931471806,7.731930722,1.386294361,21.1163537,1.386294361,34.21309871,1.098612289,7.215239979
105,1.791759469,8.837536046,0.6931471806,22.23596934,0,35.34675697,0,8.141772205
106,2.302585093,9.362202721,0.6931471806,22.7883646,3.17805383,35.9269428,1.609437912,8.749732464
107,1.791759469,8.865029187,1.098612289,22.3184473,1.945910149,35.4842178,1.098612289,7.668093709
108,1.791759469,8.875147317,2.197224577,22.34880117,0,35.53480673,1.098612289,7.965545573
109,0.6931471806,7.783224016,1.098612289,21.27023329,2.833213344,34.46956419,1.791759469,7.687538766
110,1.791759469,8.888480848,1.386294361,22.38880109,3.135494216,35.60147216,1.609437912,8.392989588
111,1.791759469,8.898365607,1.098612289,22.41845489,2.564949357,35.65089435,1.791759469,8.409162447
112,1.386294361,8.501063809,1.791759469,22.0374661,2.079441542,35.28620042,1.386294361,8.016977747
113,0.6931471806,7.812782819,1.791759469,21.35890953,1.098612289,34.61735766,1.098612289,6.637258031
114,2.48490665,9.61580548,1.386294361,23.18454812,3.17805383,36.46573153,0,8.030084094
115,2.302585093,9.450930837,0,23.05453695,1.791759469,36.37054338,1.609437912,8.264878263
116,0.6931471806,7.850882665,1.386294361,21.47320888,2.833213344,34.80785626,1.098612289,7.357556201
117,1.386294361,8.548691858,1.609437912,22.18034929,0,35.52433746,1.386294361,6.668228248
118,1.791759469,8.961879013,0.6931471806,22.60899222,1.945910149,35.96845176,1.609437912,6.670766321
119,1.791759469,8.971067439,0,22.63655711,0,36.01439259,0,7.77443551
120,0.6931471806,7.878534196,0,21.55616334,3.17805383,34.94611348,0,8.29529886
121,2.48490665,9.680843876,1.098612289,23.37965206,2.772588722,36.79088605,1.609437912,8.083328609
122,1.386294361,8.594154233,1.609437912,22.31673557,1.098612289,35.75164655,2.079441542,8.093156698
123,1.791759469,9.006999448,1.386294361,22.74435169,1.609437912,36.19404781,1.386294361,7.40731771
124,2.079441542,9.304923014,1.386294361,23.06277268,2.397895273,36.53298547,1.386294361,7.412160335
125,2.302585093,9.541081934,0.6931471806,23.32498004,3.36729583,36.82126488,2.944438979,7.416979621
126,2.079441542,9.330786525,0.6931471806,23.1403615,1.098612289,36.66229733,1.609437912,8.341648619
127,2.302585093,9.566615236,0.6931471806,23.40157738,1.386294361,36.94892283,0.6931471806,8.353497099
128,2.079441542,9.355997944,1.609437912,23.21599418,1.386294361,36.78834915,1.098612289,9.064157862
129,1.791759469,9.077951184,1.609437912,22.95720432,3.80666249,36.5487979,2.708050201,8.861633598
130,1.791759469,9.086136769,2.302585093,22.9817608,1.609437912,36.58972491,2.397895273,6.792344427
131,1.386294361,8.687442167,2.079441542,22.59659788,2.397895273,36.21808124,0,6.794586581
132,2.079441542,9.388653907,0,23.31396013,1.945910149,36.95162251,2.48490665,8.186464429
133,1.791759469,9.110299018,0,23.05424676,0,36.71053355,1.609437912,7.499976541
134,1.386294361,8.711443319,1.386294361,22.668601,2.772588722,36.33808586,1.098612289,6.81014245
135,2.079441542,9.412464556,0.6931471806,23.38539074,4.025351691,37.07067131,2.63905733,8.201934351
136,1.386294361,8.727129915,0,22.71566057,0,36.41651813,0,8.908153613
137,2.63905733,9.99149843,1.386294361,24.00331399,2.772588722,37.72755483,1.609437912,7.939158818
138,2.302585093,9.670293665,2.079441542,23.71260348,1.945910149,37.46728437,0,7.539027056
139,2.48490665,9.866408544,1.098612289,23.93632098,2.397895273,37.71862578,1.098612289,7.543273347
140,0.6931471806,8.083328609,0.6931471806,22.17054581,3.36729583,35.97008297,1.386294361,8.466951975
141,2.302585093,9.700146629,0.6931471806,23.80216006,2.079441542,37.61654148,1.609437912,7.964503364
142,0.6931471806,8.098034756,1.609437912,22.21466421,2.772588722,36.04361356,2.302585093,6.870053412
143,1.386294361,8.794824928,1.098612289,22.91874476,0,36.75499035,0,7.972810784
144,0.6931471806,8.105307516,0,22.23648246,2.079441542,36.07997728,0.6931471806,8.267705665
145,2.302585093,9.721965676,1.098612289,23.8676156,2.708050201,37.72563138,1.791759469,8.275885669
146,2.63905733,10.07272387,1.386294361,24.24697823,2.197224577,38.13364179,2.079441542,8.283999304
147,1.386294361,8.830543011,1.386294361,23.0258986,3.091042453,36.93357941,0.6931471806,8.292047637
148,0.6931471806,8.140898461,1.386294361,22.3432552,0,36.25793168,0.6931471806,6.910750788
149,1.386294361,8.837536046,1.386294361,23.04687763,1.945910149,36.96854434,1.386294361,8.013343181
150,2.63905733,10.10069772,0,24.33089606,2.833213344,38.27349863,1.386294361,8.715388097
151,1.386294361,8.858226439,1.098612289,23.10894859,2.397895273,37.07199558,1.098612289,8.03106018
152,0.6931471806,8.168486417,1.791759469,22.426019,2.564949357,36.39587121,2.833213344,6.936342736
153,1.386294361,8.865029187,1.098612289,23.12935676,1.098612289,37.10600908,0.6931471806,7.632401127
154,2.995732274,10.48793532,0,24.7793185,1.791759469,38.78318526,1.609437912,7.636269603
155,1.386294361,8.891786636,0.6931471806,23.20962885,1.945910149,37.23979544,2.397895273,8.897682313
156,2.079441542,9.591512788,0.6931471806,23.92252721,3.17805383,37.96588504,0.6931471806,6.959398512
157,2.302585093,9.824444345,1.945910149,24.17504495,0,38.23800252,0,8.757783656
158,2.079441542,9.610993923,0,23.98096989,2.772588722,38.06328828,2.302585093,7.6666902
159,1.386294361,8.924257021,1.791759469,23.3070397,2.63905733,37.40214635,1.609437912,7.670428522
160,1.791759469,9.335032816,0.6931471806,23.72844243,0,37.83418343,1.386294361,6.980075941
161,1.791759469,9.341368634,0.6931471806,23.74744976,2.772588722,37.8658621,1.098612289,8.371010681
162,2.63905733,10.19913779,0,24.62620471,1.945910149,38.76566044,1.609437912,6.989335266
163,1.386294361,8.955706154,1.386294361,23.40138682,2.890371758,37.55939109,0,7.685243608
164,1.791759469,9.366317953,0,23.82229723,1.945910149,37.99060708,0,8.791181937
165,1.791759469,9.372459221,0.6931471806,23.84072092,3.663561646,38.02131303,0.6931471806,7.699842407
166,2.079441542,9.667258762,1.791759469,24.14976245,0,38.34460595,2.197224577,7.009408933
167,1.791759469,9.386643856,0.6931471806,23.88327456,1.791759469,38.09223533,2.995732274,8.624252264
168,2.48490665,10.08880462,0,24.60348916,0.6931471806,38.83053934,1.098612289,8.120588712
169,1.386294361,8.998136761,1.609437912,23.52867829,3.555348061,37.77154297,1.386294361,8.125926803
170,1.791759469,9.408535278,1.098612289,23.94894843,1.609437912,38.20169114,1.386294361,7.030857476
171,0.6931471806,8.313852267,1.098612289,22.86211622,2.079441542,37.12269939,2.397895273,8.983816113
172,2.302585093,9.929155299,0,24.48917228,1.609437912,38.76153885,1.609437912,8.84101431
173,0.6931471806,8.325548307,1.945910149,22.89720432,2.944438979,37.18117951,1.945910149,7.749322465
174,1.791759469,9.428029073,1.791759469,24.00742948,2.772588722,38.299159,0,7.752764809
175,2.302585093,9.946547042,0.6931471806,24.5413467,0,38.84849486,2.079441542,8.16251625
176,0.6931471806,8.342839804,0.6931471806,22.94907878,0.6931471806,37.26763689,2.079441542,8.167635715
177,2.302585093,9.957975738,1.098612289,24.57563227,2.772588722,38.90563661,0,7.766416898
178,0.6931471806,8.354203563,1.098612289,22.98317003,1.609437912,37.32445561,1.945910149,8.871785969
179,1.791759469,9.456575255,0.6931471806,24.09306756,2.197224577,38.44188836,1.609437912,9.735778708
180,2.890371758,10.56638169,1.791759469,25.22532407,2.079441542,39.5966773,0.6931471806,8.209308412
181,1.386294361,9.072456665,2.63905733,23.75163746,2.48490665,38.14314069,0,9.19907718
182,0.6931471806,8.382060517,1.098612289,23.06674085,1.098612289,37.46374023,1.098612289,7.126890809
183,1.386294361,9.077951184,2.079441542,23.76812099,2.772588722,38.17061316,1.609437912,7.822444729
184,1.791759469,9.487972109,0,24.18725764,2.079441542,38.59887103,1.609437912,7.13169851
185,1.791759469,9.493411832,1.098612289,24.20357673,1.945910149,38.62606937,0,8.23350314
186,2.079441542,9.787403074,1.098612289,24.51019187,2.197224577,38.94531582,1.791759469,8.526747404
187,1.791759469,9.505990614,1.386294361,24.2413129,3.433987204,38.68896268,0,7.14440718
188,1.791759469,9.511333458,0,24.25734135,2.833213344,38.71567664,1.791759469,7.145984468
189,3.091042453,10.82297318,0,25.59378054,1.791759469,40.07702994,0,9.796792814
190,0.6931471806,8.435549202,2.63905733,23.22720682,3.258096538,37.73118337,1.386294361,8.964951212
191,2.302585093,10.05018193,1.791759469,24.85224707,2.772588722,39.366655,1.386294361,9.129021851
192,2.079441542,9.834780355,1.945910149,24.65232255,2.397895273,39.18219833,1.945910149,8.801619971
193,2.302585093,10.0656064,1.609437912,24.89851992,3.044522438,39.44377546,1.098612289,7.890582535
194,1.791759469,9.561560465,0.6931471806,24.4080217,2.397895273,38.96680942,1.791759469,7.893572074
195,1.791759469,9.566615236,0.6931471806,24.42318594,0.6931471806,38.99208305,2.397895273,8.302761581
196,2.079441542,9.860162428,1.098612289,24.72846819,1.098612289,39.30910676,0,8.819517541
197,2.48490665,10.27394705,1.609437912,25.15890538,2.397895273,39.75621459,1.386294361,7.908387159
198,1.386294361,9.181940897,0.6931471806,24.0800895,2.564949357,38.69055964,1.386294361,8.605936401
199,1.791759469,9.591512788,1.386294361,24.49787829,1.945910149,39.11656978,2.397895273,7.917171989
200,1.791759469,9.596418766,0.6931471806,24.51259617,2.63905733,39.14109948,0,7.920083199
201,0.6931471806,8.501063809,0.6931471806,23.42375055,1.386294361,38.05875609,1.386294361,8.841448244
202,1.791759469,9.602922854,1.609437912,24.53210835,2.63905733,39.17361966,1.609437912,7.236339343
203,2.48490665,10.30333692,0,25.24707359,2.197224577,39.90315924,0,7.931644021
204,2.302585093,10.12982599,0.6931471806,25.09117652,2.079441542,39.76486616,1.791759469,7.240649694
205,2.890371758,10.72871507,0,25.7123049,1.609437912,40.40827982,1.098612289,7.242082359
206,0.6931471806,8.539345996,0,23.53859706,2.302585093,38.25016687,0,8.631949429
207,1.386294361,9.234837844,1.386294361,24.23878007,3.784189634,38.95504347,0,8.349247801
208,1.791759469,9.644198555,1.098612289,24.65593499,2.564949357,39.3799966,1.609437912,7.253470383
209,0.6931471806,8.548691858,0,23.56663463,1.609437912,38.29689614,0,9.05017162
210,1.791759469,9.650400125,1.791759469,24.67453963,2.944438979,39.41100423,1.609437912,8.651724084
211,1.386294361,9.248791558,1.386294361,24.28064114,3.610917913,39.02481182,2.48490665,7.268920128
212,0.6931471806,8.557951184,0,23.5944126,1.098612289,38.34319273,0,8.370315996
213,1.386294361,9.253399861,1.098612289,24.29446603,3.17805383,39.04785326,2.708050201,7.9683195
214,2.48490665,10.3581237,0.6931471806,25.41143152,1.945910149,40.1770851,2.48490665,9.3615152
215,0.6931471806,8.571681377,2.079441542,23.63560316,2.833213344,38.41184364,1.098612289,8.38822281
216,1.791759469,9.673319386,1.098612289,24.74329717,2.079441542,39.52559973,0,8.392310009
217,3.526360525,11.42291323,1.098612289,26.52303143,2.708050201,41.33568079,1.386294361,9.380589348
218,1.791759469,9.703083488,2.079441542,24.83258918,1.386294361,39.67441926,1.945910149,7.307202315
219,1.791759469,9.707472669,0,24.84575668,1.609437912,39.69636502,1.609437912,8.408493774
220,2.079441542,10.00025122,1.098612289,25.14873184,1.609437912,40.00954163,1.386294361,8.700847193
221,2.890371758,10.82057796,1.386294361,25.98788512,3.555348061,40.86756609,1.098612289,8.011686729
222,2.302585093,10.24281286,0.6931471806,25.43013389,2.944438979,40.32978976,1.945910149,8.420462002
223,2.63905733,10.58779578,1.098612289,25.79214995,1.609437912,40.70885463,0.6931471806,8.936561205
224,1.386294361,9.341368634,1.609437912,24.55837197,3.17805383,39.48769586,2.63905733,8.430981495
225,0.6931471806,8.650324504,1.098612289,23.87153246,2.079441542,38.805059,0,7.334981879
226,1.386294361,9.345570321,0,24.57097701,2.833213344,39.50870424,2.48490665,8.724532511
227,1.791759469,9.754523399,1.386294361,24.98690844,1.386294361,39.93161723,0,9.291274989
228,2.079441542,10.04706828,1.945910149,25.28918226,1.098612289,40.24362442,2.564949357,7.350516172
229,1.386294361,9.358070484,0,24.60847745,2.397895273,39.57120489,1.386294361,8.045588281
230,0.6931471806,8.666991557,0.6931471806,23.9215336,2.564949357,38.88839421,1.791759469,8.742574238
231,1.791759469,9.768354879,1.386294361,25.02840276,2.772588722,40.00077423,0,8.74766979
232,2.48490665,10.46766435,1.386294361,25.74004935,2.079441542,40.72477464,2.302585093,8.058327307
233,2.302585093,10.29282328,0.6931471806,25.58016394,2.833213344,40.57983784,0.6931471806,8.060855753
234,0.6931471806,8.687442167,0.6931471806,23.98288541,3.401197382,38.9906472,1.945910149,7.369600721
235,1.386294361,9.382611593,0,24.68210069,0,39.69391013,0,8.982812222
236,0.6931471806,8.691482577,1.609437912,23.99500664,0,39.01084923,1.098612289,8.476996002
237,1.386294361,9.386643856,1.098612289,24.69419747,0.6931471806,39.7140714,0,7.380879036
238,1.791759469,9.795456808,0,25.10970833,0.6931471806,40.13628314,2.397895273,8.770283819
239,2.48490665,10.49460201,1.386294361,25.82086144,2.890371758,40.85945998,2.63905733,9.181940897
240,2.48490665,10.50254381,1.791759469,25.84468659,2.833213344,40.89916816,1.098612289,8.088254727
241,2.079441542,10.10364903,0.6931471806,25.45892368,2.079441542,40.52652541,1.791759469,8.090708716
242,2.48490665,10.51564157,0.6931471806,25.88397948,1.098612289,40.96465563,1.609437912,7.399398083
243,1.791759469,9.828332879,0,25.20833628,2.564949357,40.30066264,0,9.97287368
244,1.386294361,9.426096705,2.564949357,24.81255587,2.197224577,39.91133519,0,8.804475184
245,1.791759469,9.834780355,1.386294361,25.22767866,2.708050201,40.33289985,3.135494216,8.52098599
246,2.079441542,10.12695105,1.098612289,25.52882944,3.17805383,40.64303449,0,8.812843434
247,1.386294361,9.437635294,1.386294361,24.84717161,0,39.96902801,0,7.429520843
248,2.079441542,10.13459927,0,25.55177401,1.945910149,40.68127527,0.6931471806,9.225426009
249,1.386294361,9.445254379,1.791759469,24.87002883,0,40.00712335,1.386294361,8.131530711
250,2.63905733,10.70369381,0.6931471806,26.13983896,3.401197382,41.28832788,2.397895273,9.843896771
